epoch,accuracy,loss,val_accuracy,val_loss
0,0.6385614275932312,0.19786091148853302,0.4855477809906006,0.23650315403938293
1,0.7195804119110107,0.16485081613063812,0.6421911716461182,0.19884636998176575
2,0.7682317495346069,0.14446568489074707,0.8081585168838501,0.12106016278266907
3,0.7964035868644714,0.12851089239120483,0.8349650502204895,0.10677817463874817
4,0.8385614156723022,0.1046602725982666,0.8536130785942078,0.09998952597379684
5,0.8735264539718628,0.08565057069063187,0.880652666091919,0.08778011798858643
6,0.8969030976295471,0.07079358398914337,0.8648018836975098,0.08725525438785553
7,0.9110888838768005,0.060671012848615646,0.8895105123519897,0.07729990780353546
8,0.9349650144577026,0.04606941342353821,0.9065268039703369,0.06890484690666199
9,0.9488511681556702,0.03722769767045975,0.8778554797172546,0.08398408442735672
10,0.9580419659614563,0.031159231439232826,0.9081584811210632,0.07197017967700958
11,0.9681318402290344,0.02403903380036354,0.9104894995689392,0.06710588186979294
12,0.9713286757469177,0.021078476682305336,0.9093239903450012,0.06997020542621613
13,0.9768231511116028,0.01741711236536503,0.917016327381134,0.06497162580490112
14,0.9805194735527039,0.013698071241378784,0.91934734582901,0.06734080612659454
15,0.9832167625427246,0.01299605704843998,0.9160839319229126,0.06912018358707428
16,0.9850149750709534,0.010607428848743439,0.9093239903450012,0.0720803290605545
17,0.9881119132041931,0.00905379094183445,0.9200466275215149,0.06437058001756668
18,0.9878121614456177,0.008817324414849281,0.9006993174552917,0.0813770741224289
19,0.9904096126556396,0.00789264403283596,0.9228438138961792,0.061486516147851944
20,0.9924076199531555,0.005931258667260408,0.9067599177360535,0.07355471700429916
21,0.9909090995788574,0.006654355674982071,0.9249417185783386,0.059677351266145706
22,0.9943056702613831,0.0044951895251870155,0.9228438138961792,0.06476278603076935
23,0.9940059781074524,0.004973617382347584,0.9107226133346558,0.07325100153684616
24,0.9942057728767395,0.004102012142539024,0.9205127954483032,0.06869570165872574
25,0.9964035749435425,0.0030987567733973265,0.9184148907661438,0.06978348642587662
26,0.9957042932510376,0.0033848159946501255,0.9055944085121155,0.08300071209669113
27,0.996503472328186,0.0027944508474320173,0.9039627313613892,0.08510684967041016
28,0.9964035749435425,0.0030715279281139374,0.9226107001304626,0.06797325611114502
29,0.9957042932510376,0.0028839607257395983,0.9275058507919312,0.06584836542606354
30,0.9976024031639099,0.002067569177597761,0.9289044141769409,0.0661265030503273
31,0.9976024031639099,0.0019342968007549644,0.927039623260498,0.06549638509750366
32,0.9974026083946228,0.001803190098144114,0.9128205180168152,0.07220277935266495
33,0.9983016848564148,0.0016018206952139735,0.929370641708374,0.06354046612977982
34,0.9985014796257019,0.0010608629090711474,0.9251748323440552,0.0702880322933197
35,0.9984015822410583,0.001303318771533668,0.9303030371665955,0.0666799321770668
36,0.9989010691642761,0.0008451701723970473,0.930536150932312,0.0686991885304451
37,0.998701274394989,0.000871840980835259,0.9223776459693909,0.07434074580669403
38,0.9988011717796326,0.0010237412061542273,0.929370641708374,0.0643487498164177
39,0.9995005130767822,0.00043175031896680593,0.9263403415679932,0.07256051898002625
40,0.9995005130767822,0.0004572385223582387,0.9279720187187195,0.07056409120559692
41,0.9994006156921387,0.000537090003490448,0.9277389049530029,0.07328321039676666
42,0.9994006156921387,0.0004902270156890154,0.9284382462501526,0.06932227313518524
43,0.9996004104614258,0.00040117825847119093,0.930536150932312,0.06952458620071411
44,0.9995005130767822,0.0003784380969591439,0.9286713004112244,0.0715726763010025
45,0.9998002052307129,0.00020606935140676796,0.9277389049530029,0.07815158367156982
46,0.9993007183074951,0.0005505732842721045,0.9312354326248169,0.06747802346944809
